pdf_index,site_row,skip,filename,title,agency,release_date,url,folder
58,59,False,DOW-UAP-D5_Mission_Report_Arabian_Gulf_2020.pdf,"DOW-UAP-D5, Mission Report, Arabian Gulf, 2020",Department of War,5/8/26,https://www.war.gov/medialink/ufo/release_1/dow-uap-d5-mission-report-arabian-gulf-2020.pdf,DOW-UAP-D5_Mission_Report_Arabian_Gulf_2020
59,60,False,DOW-UAP-D50_Email_Correspondence_INDOPACOM_April_2025.pdf,"DOW-UAP-D50, Email Correspondence, INDOPACOM, April 2025",Department of War,5/8/26,https://www.war.gov/medialink/ufo/release_1/dow-uap-d50-email-correspondence-indopacom-april-2025.pdf,DOW-UAP-D50_Email_Correspondence_INDOPACOM_April_2025
60,61,False,DOW-UAP-D51_Email_Correspondence_Pacific_Time_Zone_March_2023.pdf,"DOW-UAP-D51, Email Correspondence, Pacific Time Zone, March 2023",Department of War,5/8/26,https://www.war.gov/medialink/ufo/release_1/dow-uap-d51-email-correspondence-pacific-time-zone-march-2023.pdf,DOW-UAP-D51_Email_Correspondence_Pacific_Time_Zone_March_2023
61,62,False,DOW-UAP-D52_Email_Correspondance_NA_August_2024.pdf,"DOW-UAP-D52, Email Correspondance, NA, August 2024",Department of War,5/8/26,https://www.war.gov/medialink/ufo/release_1/dow-uap-d52-email-correspondance-na-august-2024.pdf,DOW-UAP-D52_Email_Correspondance_NA_August_2024
62,63,False,DOW-UAP-D54_Mission_Report_Mediterranean_Sea_NA.pdf,"DOW-UAP-D54, Mission Report, Mediterranean Sea, NA",Department of War,5/8/26,https://www.war.gov/medialink/ufo/release_1/dow-uap-d54-mission-report-mediterranean-sea-na.pdf,DOW-UAP-D54_Mission_Report_Mediterranean_Sea_NA
63,64,False,DOW-UAP-D55_Mission_Report_Syria_November_2016.pdf,"DOW-UAP-D55, Mission Report, Syria, November 2016",Department of War,5/8/26,https://www.war.gov/medialink/ufo/release_1/dow-uap-d55-mission-report-syria-november-2016.pdf,DOW-UAP-D55_Mission_Report_Syria_November_2016
64,65,False,DOW-UAP-D56_Range_Fouler_Debrief_Arabian_Sea_August_2020.pdf,"DOW-UAP-D56, Range Fouler Debrief, Arabian Sea, August 2020",Department of War,5/8/26,https://www.war.gov/medialink/ufo/release_1/dow-uap-d56-range-fouler-debrief-arabian-sea-august-2020.pdf,DOW-UAP-D56_Range_Fouler_Debrief_Arabian_Sea_August_2020
65,66,False,DOW-UAP-D57_Range_Fouler_Reporting_Form_Gulf_of_Aden_September_2020.pdf,"DOW-UAP-D57, Range Fouler Reporting Form, Gulf of Aden, September 2020",Department of War,5/8/26,https://www.war.gov/medialink/ufo/release_1/dow-uap-d57-mission-report-gulf-of-aden-september-2020.pdf,DOW-UAP-D57_Range_Fouler_Reporting_Form_Gulf_of_Aden_September_2020
66,67,False,DOW-UAP-D58_Range_Fouler_Debrief_NA_October_2020.pdf,"DOW-UAP-D58, Range Fouler Debrief, NA, October 2020",Department of War,5/8/26,https://www.war.gov/medialink/ufo/release_1/dow-uap-d58-range-fouler-debrief-na-october-2020.pdf,DOW-UAP-D58_Range_Fouler_Debrief_NA_October_2020
67,68,False,DOW-UAP-D6_Mission_Report_Arabian_Gulf_2020.pdf,"DOW-UAP-D6, Mission Report, Arabian Gulf, 2020",Department of War,5/8/26,https://www.war.gov/medialink/ufo/release_1/dow-uap-d6-mission-report-arabian-gulf-2020.pdf,DOW-UAP-D6_Mission_Report_Arabian_Gulf_2020
68,69,False,DOW-UAP-D60_Mission_Report_Persian_Gulf_August_2020.pdf,"DOW-UAP-D60, Mission Report, Persian Gulf, August 2020",Department of War,5/8/26,https://www.war.gov/medialink/ufo/release_1/dow-uap-d60-mission-report-persian-gulf-august-2020.pdf,DOW-UAP-D60_Mission_Report_Persian_Gulf_August_2020
69,70,False,DOW-UAP-D61_Mission_Report_Persian_Gulf_August_2020.pdf,"DOW-UAP-D61, Mission Report, Persian Gulf, August 2020",Department of War,5/8/26,https://www.war.gov/medialink/ufo/release_1/dow-uap-d61-mission-report-persian-gulf-august-2020.pdf,DOW-UAP-D61_Mission_Report_Persian_Gulf_August_2020
70,71,False,DOW-UAP-D62_Mission_Report_Strait_of_Hormuz_September_2020.pdf,"DOW-UAP-D62, Mission Report, Strait of Hormuz, September 2020",Department of War,5/8/26,https://www.war.gov/medialink/ufo/release_1/dow-uap-d62-mission-report-strait-of-hormuz-september-2020.pdf,DOW-UAP-D62_Mission_Report_Strait_of_Hormuz_September_2020
71,72,False,DOW-UAP-D63_Mission_Report_Strait_of_Hormuz_October_2020.pdf,"DOW-UAP-D63, Mission Report, Strait of Hormuz, October 2020",Department of War,5/8/26,https://www.war.gov/medialink/ufo/release_1/dow-uap-d63-mission-report-strait-of-hormuz-october-2020.pdf,DOW-UAP-D63_Mission_Report_Strait_of_Hormuz_October_2020
72,73,False,DOW-UAP-D64_Mission_Report_Iran_November_2020.pdf,"DOW-UAP-D64, Mission Report, Iran, November 2020",Department of War,5/8/26,https://www.war.gov/medialink/ufo/release_1/dow-uap-d64-mission-report-iran-november-2020.pdf,DOW-UAP-D64_Mission_Report_Iran_November_2020
73,74,False,DOW-UAP-D65_Mission_Report_Persian_Gulf_July_2020.pdf,"DOW-UAP-D65, Mission Report, Persian Gulf, July 2020",Department of War,5/8/26,https://www.war.gov/medialink/ufo/release_1/dow-uap-d65-mission-report-persian-gulf-july-2020.pdf,DOW-UAP-D65_Mission_Report_Persian_Gulf_July_2020
74,75,False,DOW-UAP-D7_Mission_Report_Arabian_Gulf_2020.pdf,"DOW-UAP-D7, Mission Report, Arabian Gulf, 2020",Department of War,5/8/26,https://www.war.gov/medialink/ufo/release_1/dow-uap-d7-mission-report-arabian-gulf-2020.pdf,DOW-UAP-D7_Mission_Report_Arabian_Gulf_2020
75,76,False,DOW-UAP-D74_Mission_Report_Syria_November_2023.pdf,"DOW-UAP-D74, Mission Report, Syria, November 2023",Department of War,5/8/26,https://www.war.gov/medialink/ufo/release_1/dow-uap-d74-mission-report-syria-november-2023.pdf,DOW-UAP-D74_Mission_Report_Syria_November_2023
76,77,False,DOW-UAP-D75_Mission_Report_Gulf_of_Aden_July_2024.pdf,"DOW-UAP-D75, Mission Report, Gulf of Aden, July 2024",Department of War,5/8/26,https://www.war.gov/medialink/ufo/release_1/dow-uap-d75-mission-report-gulf-of-aden-july-2024.pdf,DOW-UAP-D75_Mission_Report_Gulf_of_Aden_July_2024
